No. of transitions: Transition input format:
'<start_state> <input> <end_state>'
Epsilon input is denoted by 'E'
Final states (separated by a single space): 
-----End of input-----
1	a	2, 3, 4, 5, 7, 8, 9, 10, 12
1	b	2, 3, 5, 6, 7, 8
2	a	2, 3, 4, 5, 7, 8
2	b	2, 3, 5, 6, 7, 8
3	a	2, 3, 4, 5, 7, 8
4	a	2, 3, 4, 5, 7, 8, 9, 10, 12
4	b	2, 3, 5, 6, 7, 8
5	b	2, 3, 5, 6, 7, 8
6	a	2, 3, 4, 5, 7, 8, 9, 10, 12
6	b	2, 3, 5, 6, 7, 8
7	a	2, 3, 4, 5, 7, 8, 9, 10, 12
7	b	2, 3, 5, 6, 7, 8
8	a	9, 10, 12
9	a	16, 18, 11, 14, 15
9	b	16, 18, 13, 14, 15
10	a	16, 18, 11, 14, 15
11	a	17, 20, 21
11	b	19, 20, 21
12	b	16, 18, 13, 14, 15
13	a	17, 20, 21
13	b	19, 20, 21
14	a	17, 20, 21
14	b	19, 20, 21
15	a	17, 20, 21
15	b	19, 20, 21
16	a	17, 20, 21
18	b	19, 20, 21

Final states are: 0, 17, 19, 20
